Dehashed name,WEM name (English),WEM name (日本語)
addkizunatalk007_0500,612434854.wem,861462816.wem
addkizunatalk007_0510,94168115.wem,379270705.wem
addkizunatalk007_0520,441356546.wem,138555051.wem
addkizunatalk007_0530,803515893.wem,1036814420.wem
addkizunatalk007_0540,512365759.wem,668949805.wem
addkizunatalk007_0550,709638614.wem,768148806.wem
addkizunatalk008_0010,821126209.wem,967974712.wem
addkizunatalk008_0020,383163000.wem,695097506.wem
addkizunatalk008_0030,297247597.wem,483608681.wem
addkizunatalk008_0040,529747205.wem,747629358.wem
addkizunatalk008_0050,1064711948.wem,448037547.wem
addkizunatalk008_0060,30615041.wem,43097435.wem
addkizunatalk008_0070,125070699.wem,280494456.wem
addkizunatalk008_0080,352396473.wem,963557412.wem
addkizunatalk008_0090,746827868.wem,7084284.wem
addkizunatalk008_0100,1016143875.wem,836394306.wem
addkizunatalk008_0110,1060773169.wem,660384355.wem
addkizunatalk008_0120,354544674.wem,884918637.wem
addkizunatalk008_0130,925080145.wem,981980027.wem
addkizunatalk008_0140,33639495.wem,481712649.wem
addkizunatalk008_0150,622742783.wem,44895176.wem
addkizunatalk008_0160,337618056.wem,134280079.wem
addkizunatalk008_0170,654434830.wem,185275623.wem
addkizunatalk008_0180,200622858.wem,695672016.wem
addkizunatalk008_0190,353174160.wem,734336373.wem
addkizunatalk008_0200,949397167.wem,21921130.wem
addkizunatalk008_0210,208523711.wem,131107122.wem
addkizunatalk008_0220,848668109.wem,738165860.wem
addkizunatalk008_0230,294163200.wem,868120982.wem
addkizunatalk008_0240,1009918310.wem,606628761.wem
addkizunatalk008_0250,1035091530.wem,74394112.wem
addkizunatalk008_0260,338444555.wem,826518257.wem
addkizunatalk008_0270,475767515.wem,312538214.wem
addkizunatalk008_0280,975217412.wem,748083996.wem
addkizunatalk008_0290,409902011.wem,984684600.wem
addkizunatalk008_0300,235397625.wem,82445604.wem
addkizunatalk008_0310,25201637.wem,549032102.wem
addkizunatalk008_0320,23479707.wem,624078211.wem
addkizunatalk008_0330,48027238.wem,627768917.wem
addkizunatalk008_0340,122189117.wem,890648699.wem
addkizunatalk008_0350,398006826.wem,164187910.wem
addkizunatalk008_0360,989476240.wem,52841724.wem
addkizunatalk008_0370,738920125.wem,997442116.wem
addkizunatalk008_0380,968957908.wem,94506571.wem
addkizunatalk008_0390,491824423.wem,999479754.wem
addkizunatalk008_0400,961812742.wem,1059443156.wem
addkizunatalk008_0410,1043791937.wem,840202982.wem
addkizunatalk008_0420,513671035.wem,371763507.wem
addkizunatalk008_0430,7126525.wem,392582332.wem
addkizunatalk008_0440,103500946.wem,854364948.wem
addkizunatalk008_0450,91810738.wem,929763708.wem
addkizunatalk009_0010,586694725.wem,988156116.wem
addkizunatalk009_0020,632236748.wem,746868930.wem
addkizunatalk009_0030,806679759.wem,25449025.wem
addkizunatalk009_0040,802609147.wem,839041591.wem
addkizunatalk009_0050,620737935.wem,264866718.wem
addkizunatalk009_0060,368435377.wem,677621892.wem
addkizunatalk009_0070,988957974.wem,303357694.wem
addkizunatalk009_0080,681838180.wem,152810783.wem
addkizunatalk009_0090,54108175.wem,680985956.wem
addkizunatalk009_0100,970087369.wem,125960243.wem
addkizunatalk009_0110,92636965.wem,999291705.wem
addkizunatalk009_0120,706107183.wem,727729249.wem
addkizunatalk009_0130,732485433.wem,358097154.wem
addkizunatalk009_0140,163032921.wem,479481145.wem
addkizunatalk009_0150,715051710.wem,224405311.wem
addkizunatalk009_0160,566523059.wem,569744521.wem
addkizunatalk009_0170,472964639.wem,848624780.wem
addkizunatalk009_0180,450042663.wem,243768695.wem
addkizunatalk009_0190,66028076.wem,756472152.wem
addkizunatalk009_0200,285930897.wem,196010290.wem
addkizunatalk009_0210,89597838.wem,617016041.wem
addkizunatalk009_0220,484267544.wem,305891877.wem
addkizunatalk009_0230,542759071.wem,56380958.wem
addkizunatalk009_0240,83817666.wem,67988214.wem
addkizunatalk009_0250,836775916.wem,465658212.wem
addkizunatalk009_0260,963692162.wem,338468110.wem
addkizunatalk009_0270,704947656.wem,751300549.wem
addkizunatalk009_0280,200887183.wem,152986523.wem
addkizunatalk009_0290,917047054.wem,645778923.wem
addkizunatalk009_0300,346235231.wem,983757815.wem
addkizunatalk009_0310,304900811.wem,595609933.wem
addkizunatalk009_0320,205969961.wem,245685278.wem
addkizunatalk009_0330,82972477.wem,125322760.wem
addkizunatalk009_0340,639446024.wem,498017668.wem
addkizunatalk009_0350,583203628.wem,138323921.wem
addkizunatalk009_0360,199547327.wem,344927923.wem
addkizunatalk009_0370,684537499.wem,596010805.wem
addkizunatalk009_0380,11436906.wem,612963094.wem
addkizunatalk009_0390,1027428252.wem,174745808.wem
addkizunatalk009_0400,1064358717.wem,612570937.wem
addkizunatalk009_0410,437943024.wem,90194087.wem
addkizunatalk009_0420,152744967.wem,807313893.wem
addkizunatalk009_0430,920451311.wem,41655116.wem
addkizunatalk009_0440,167721658.wem,820447230.wem
addkizunatalk009_0450,1016370553.wem,947470922.wem
addkizunatalk009_0460,600941196.wem,946322292.wem
addkizunatalk009_0470,801869725.wem,440209342.wem
addkizunatalk009_0480,875669690.wem,519240242.wem
