Dehashed name,WEM name (English),WEM name (日本語)
cq021400_0010,152732540.wem,215875117.wem
cq021400_0015,549436441.wem,935506527.wem
cq021400_0020,613742901.wem,100577313.wem
cq021400_0030,918010303.wem,67199466.wem
cq021400_0033,889454841.wem,6203057.wem
cq021400_0036,532985157.wem,1003143977.wem
cq021400_0040,363164968.wem,967613678.wem
cq021400_0045,290251187.wem,928404370.wem
cq021400_0050,437492212.wem,339861618.wem
cq021400_0060,56290539.wem,995586514.wem
cq021400_0065,218752303.wem,250881206.wem
cq021400_0070,11417081.wem,515940064.wem
cq021400_0075,238123796.wem,324012934.wem
cq021500_0090,708659824.wem,696498807.wem
cq021500_0100,744879995.wem,99947904.wem
cq021500_0110,895623826.wem,324353856.wem
cq021500_0120,859791293.wem,353394117.wem
cq021500_0130,515421237.wem,885782084.wem
cq021500_0140,663630553.wem,173211364.wem
cq021500_0145,956360403.wem,436715873.wem
cq021500_0150,280082347.wem,395655180.wem
cq021500_0160,325605170.wem,833207407.wem
cq021500_0165,186680876.wem,656878823.wem
cq021500_0170,123541970.wem,269356214.wem
cq021500_0180,388756422.wem,372030768.wem
cq021500_0190,832723502.wem,201698150.wem
cq021500_0200,6553890.wem,239826435.wem
cq021500_0205,805972971.wem,818777367.wem
cq021500_0210,397277469.wem,335730890.wem
cq021500_0220,60183237.wem,693529397.wem
cq021500_0230,194782360.wem,351381418.wem
cq021500_0240,842933416.wem,552928668.wem
cq021500_0250,996494698.wem,440262748.wem
cq021500_0260,34108856.wem,336275621.wem
cq021500_0265,891962437.wem,674638573.wem
cq021500_0270,807409862.wem,584777427.wem
cq021500_0275,8510758.wem,811698483.wem
cq021500_0280,162543963.wem,45315896.wem
cq021500_0290,192576992.wem,627016919.wem
cq021500_0300,176004407.wem,553712463.wem
cq021500_0310,573256574.wem,446484480.wem
cq021500_0320,341277722.wem,913769158.wem
cq021500_0330,364473685.wem,934078182.wem
cq021500_0340,139768810.wem,848401054.wem
cq021500_0345,893651812.wem,365424880.wem
cq021500_0350,867934347.wem,890157654.wem
cq021500_0360,466340171.wem,328494611.wem
cq021500_0370,897339992.wem,212002766.wem
cq021500_0380,376503731.wem,660843879.wem
cq021500_0390,974269626.wem,85487690.wem
cq021500_0400,864560275.wem,438929788.wem
cq021500_0405,442307842.wem,260949892.wem
cq021500_0410,834134693.wem,413261815.wem
cq021500_0420,1003190585.wem,339063254.wem
cq021500_0430,687938633.wem,97825346.wem
cq021500_0440,655379668.wem,967038011.wem
cq021500_0450,331030902.wem,341693973.wem
cq021500_0455,945168355.wem,781678289.wem
cq021500_0460,617965782.wem,1003322704.wem
cq021500_0470,645322916.wem,415427308.wem
cq021500_0480,127824218.wem,541623663.wem
cq021500_0490,78740013.wem,427805356.wem
cq021500_0500,733554670.wem,631851169.wem
cq021500_0510,697526154.wem,605946334.wem
cq021500_0515,470783579.wem,903730233.wem
cq021500_0520,592635725.wem,714283532.wem
cq021500_0530,278679948.wem,322317589.wem
cq021500_0535,907511873.wem,1014125195.wem
cq021500_0540,441541890.wem,299613297.wem
cq021500_0545,709662546.wem,904184306.wem
cq021500_0550,13688597.wem,939273334.wem
cq021500_0560,430195989.wem,905186670.wem
cq021500_0570,669959260.wem,541407226.wem
cq021500_0580,490660410.wem,796326644.wem
cq021500_0590,84272058.wem,343083083.wem
cq021500_0600,546243648.wem,365485758.wem
cq021500_0610,874599593.wem,885434164.wem
cq021500_0615,96104753.wem,108189565.wem
cq021500_0620,947337908.wem,691068642.wem
cq021600_0010,115259052.wem,463513921.wem
cq021600_0020,174788912.wem,514429301.wem
cq021600_0025,276291411.wem,875395436.wem
cq021600_0030,675659285.wem,997953098.wem
cq021600_0035,537258406.wem,593010636.wem
cq021600_0040,348179522.wem,944407664.wem
cq021600_0050,1032326332.wem,790115490.wem
cq021600_0060,1072045616.wem,79479564.wem
cq021600_0065,362647126.wem,444668036.wem
cq021600_0070,579251636.wem,1052163548.wem
cq021650_0010,914687785.wem,354411910.wem
cq021650_0020,188762223.wem,352232618.wem
cq021650_0025,513252796.wem,925329843.wem
cq021650_0030,458314632.wem,554690040.wem
cq021650_0040,813028535.wem,936583084.wem
cq021650_0050,351122107.wem,284392413.wem
cq021650_0060,1019162031.wem,232024266.wem
cq021650_0070,660028397.wem,1012351808.wem
cq021650_0080,251885534.wem,969526750.wem
cq021650_0090,402205275.wem,161662588.wem
cq021650_0100,466814883.wem,1046878476.wem
cq021650_0105,30696296.wem,1044928701.wem
cq021650_0110,933074087.wem,723772270.wem
cq021650_0115,293228431.wem,221650901.wem
cq021650_0120,836071310.wem,783275347.wem
cq021700_0020,496371520.wem,38882328.wem
cq021700_0025,522767763.wem,200588987.wem
cq021700_0030,906126788.wem,635285731.wem
cq021700_0040,778608478.wem,555661200.wem
cq021700_0050,532613534.wem,119300209.wem
cq021700_0055,686229575.wem,862020654.wem
cq021700_0060,897437946.wem,774019921.wem
cq021700_0065,28893394.wem,981370041.wem
cq021700_0070,581737423.wem,229030341.wem
cq021700_0075,575303985.wem,477683365.wem
cq021700_0080,440970064.wem,262623158.wem
cq021700_0090,268638230.wem,26781268.wem
cq021700_0095,73795584.wem,229310127.wem
cq021700_0100,254399479.wem,1043985624.wem
cq021700_0105,155257217.wem,861204555.wem
cq021700_0110,980043074.wem,261155462.wem
cq021700_0120,834729656.wem,907418227.wem
cq021700_0130,379574792.wem,973140466.wem
cq021700_0140,417755016.wem,664276163.wem
cq021700_0150,986363848.wem,708690501.wem
cq021700_0160,165755255.wem,221082014.wem
cq021700_0170,329980971.wem,743990846.wem
cq021700_0180,559389448.wem,412403483.wem
cq021700_0190,992048065.wem,890581918.wem
cq021700_0200,208529883.wem,319681288.wem
cq021700_0210,462200060.wem,116720098.wem
cq021700_0215,481314428.wem,402188684.wem
cq021700_0220,961340338.wem,371626382.wem
cq021700_0230,647271555.wem,852587682.wem
cq021700_0240,824721124.wem,231776173.wem
cq021700_0250,318181855.wem,325300241.wem
cq021700_0260,193715462.wem,354748769.wem
cq021700_0270,749629919.wem,339951571.wem
cq021700_0280,295446366.wem,244177331.wem
cq021700_0290,746844478.wem,844131690.wem
cq021700_0300,11876775.wem,837306184.wem
cq021700_0310,746426256.wem,694664574.wem
cq021700_0320,297203163.wem,40401020.wem
cq021700_0325,750919872.wem,560000352.wem
cq021700_0330,505014897.wem,774255589.wem
cq021700_0335,69331850.wem,327648794.wem
cq021700_0340,169513359.wem,188394609.wem
cq021700_0350,280970225.wem,156078376.wem
cq021700_0355,493759723.wem,804254674.wem
cq021700_0360,1017767541.wem,116820860.wem
cq021700_0370,781687155.wem,323725790.wem
cq021700_0375,304394008.wem,591877271.wem
cq021700_0380,1030189120.wem,302130603.wem
cq021700_0390,690717186.wem,76363364.wem
cq021700_0400,449234686.wem,270176619.wem
cq021700_0410,385675979.wem,436167304.wem
cq021700_0420,754461363.wem,391018840.wem
cq021700_0430,1017296632.wem,283694096.wem
cq021700_0435,181914407.wem,522177817.wem
cq021700_0440,820862331.wem,91983542.wem
cq021700_0450,935494674.wem,289912884.wem
cq021700_0455,902927561.wem,447019662.wem
cq021700_0460,987574350.wem,736034120.wem
cq021700_0465,452961101.wem,110573694.wem
cq021700_0470,426940157.wem,496547144.wem
cq021700_0530,515875656.wem,420779373.wem
cq021700_0540,569530320.wem,382894440.wem
cq021700_0550,1046688832.wem,833124775.wem
cq021700_0555,443903944.wem,584914145.wem
cq021700_0560,290782300.wem,878789024.wem
cq021700_0570,530168242.wem,774605992.wem
cq021700_0580,667403192.wem,874607284.wem
cq021700_0590,135212916.wem,410709996.wem
cq021700_0595,401532554.wem,798417039.wem
cq021700_0600,307809194.wem,404406230.wem
cq021700_0610,345979354.wem,314031956.wem
cq021700_0615,263020071.wem,212017887.wem
cq021700_0620,1065030383.wem,1236207.wem
cq021700_0625,519529775.wem,761334526.wem
cq021700_0630,456805882.wem,811399765.wem
cq021700_0640,757808799.wem,392647575.wem
cq021700_0645,522835531.wem,820907142.wem
cq021700_0650,52383244.wem,26175340.wem
cq021700_0660,883796305.wem,1065907994.wem
cq021700_0670,847302699.wem,726028352.wem
cq021700_0675,811485017.wem,6548765.wem
cq021700_0680,268654476.wem,872347332.wem
cq021700_0690,968866397.wem,729899952.wem
cq021700_0700,537341299.wem,215181303.wem
cq021700_0705,1068107367.wem,118406095.wem
cq021700_0710,924957888.wem,386316625.wem
cq021700_0715,364376791.wem,380193610.wem
cq021700_0720,47930369.wem,154193586.wem
cq021700_0730,360393493.wem,208737618.wem
cq021700_0735,333070955.wem,126786239.wem
cq021700_0740,751907418.wem,248007285.wem
cq021700_0745,256321093.wem,790294989.wem
cq021800_0010,589529081.wem,497317235.wem
cq021800_0070,94519619.wem,115002119.wem
cq021800_0080,348666413.wem,232587541.wem
cq021800_0090,580546272.wem,960720861.wem
cq021800_0095,728230691.wem,586066406.wem
cq021800_0100,391502477.wem,1048945502.wem
cq021800_0110,26481077.wem,822220792.wem
cq021800_0120,56595935.wem,614145355.wem
cq021800_0130,254080365.wem,431812490.wem
cq021800_0135,639146796.wem,52763890.wem
cq021800_0140,493583259.wem,403671696.wem
cq021800_0150,556044059.wem,762248824.wem
cq021800_0160,154344644.wem,71915454.wem
cq021800_0170,679884021.wem,502017141.wem
cq021800_0180,924226246.wem,673546746.wem
cq021800_0185,511046541.wem,681444153.wem
cq021800_0190,397286368.wem,954236896.wem
cq021800_0195,267886361.wem,975921340.wem
cq021800_0200,697349702.wem,1003600165.wem
cq021800_0205,460704782.wem,162834126.wem
cq021800_0210,47916435.wem,729039181.wem
cq021800_0220,574093154.wem,411570773.wem
cq021800_0230,390685971.wem,718639325.wem
cq021800_0235,300765613.wem,537186167.wem
cq021800_0240,506298255.wem,907935305.wem
cq021800_0250,1050884722.wem,574016024.wem
cq021800_0260,842051026.wem,697047655.wem
cq021800_0265,464155694.wem,473855590.wem
cq021800_0270,178939890.wem,59202106.wem
cq021800_0275,155360625.wem,458599720.wem
cq021800_0280,138061821.wem,855861081.wem
cq021800_0285,1030345599.wem,544029087.wem
cq021800_0290,247829123.wem,99232755.wem
cq021800_0300,237219618.wem,101214176.wem
cq021800_0310,79953532.wem,292311923.wem
cq021800_0315,905686797.wem,1022052506.wem
cq021800_0320,354656890.wem,812240055.wem
cq021800_0330,918390130.wem,387901616.wem
cq021800_0340,687949193.wem,89849111.wem
cq021800_0350,666207256.wem,469039532.wem
cq021800_0360,270391671.wem,648756362.wem
cq021800_0365,951902776.wem,618807991.wem
cq021800_0370,687373983.wem,1040516253.wem
cq021800_0380,598027571.wem,403401486.wem
cq021800_0390,365465681.wem,600361432.wem
cq021800_0400,88905655.wem,240969900.wem
cq021800_0410,418644895.wem,908883915.wem
cq021800_0420,830753345.wem,854351681.wem
cq021800_0430,46435857.wem,1005860128.wem
cq021800_0440,922807846.wem,145005794.wem
cq021800_0445,1023477098.wem,354310961.wem
cq021800_0450,522932853.wem,913850302.wem
cq021800_0460,996988921.wem,693839012.wem
cq021800_9010,772328398.wem,392804418.wem
cq021800_9020,164602539.wem,1059638848.wem
cq021800_9030,680237071.wem,746382587.wem
